"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User should not be able to login with invalid username or password, and error message should be displayed","526","Verify error message with invalid credentials (password)","Regression Suite","Thu Apr 16 04:51:08 UTC 2026","passed","Thu Apr 16 04:51:09 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithInvalidCredentials"
"After adding item to cart, cart icon should be updated with number of item added in cart","231","Verify adding products to cart updates badge","Regression Suite","Thu Apr 16 04:51:09 UTC 2026","passed","Thu Apr 16 04:51:09 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","addToCartShouldShowBatchCount"
"Blocked user should not be able to login, and user is blocked message should be displayed","550","Verify locked out user cannot login","Regression Suite","Thu Apr 16 04:51:10 UTC 2026","passed","Thu Apr 16 04:51:10 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithLockedUser"
"All 6 products should be displayed on Products page","102","Verify all 6 products are displayed","Regression Suite","Thu Apr 16 04:51:10 UTC 2026","passed","Thu Apr 16 04:51:10 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","allProductsShouldDisplay"
"User should be able to login with valid credentials and product page should be displayed","404","Verify successful login","Regression Suite","Thu Apr 16 04:51:11 UTC 2026","passed","Thu Apr 16 04:51:11 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithValidCredentials"
