"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"All 6 products should be displayed on Products page","68","Verify all 6 products are displayed","Regression Suite","Wed Apr 22 04:46:24 UTC 2026","passed","Wed Apr 22 04:46:24 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","allProductsShouldDisplay"
"User should not be able to login with invalid username or password, and error message should be displayed","595","Verify error message with invalid credentials (password)","Regression Suite","Wed Apr 22 04:46:22 UTC 2026","passed","Wed Apr 22 04:46:22 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithInvalidCredentials"
"Blocked user should not be able to login, and user is blocked message should be displayed","614","Verify locked out user cannot login","Regression Suite","Wed Apr 22 04:46:23 UTC 2026","passed","Wed Apr 22 04:46:24 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithLockedUser"
"User should be able to login with valid credentials and product page should be displayed","431","Verify successful login","Regression Suite","Wed Apr 22 04:46:24 UTC 2026","passed","Wed Apr 22 04:46:25 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithValidCredentials"
"After adding item to cart, cart icon should be updated with number of item added in cart","222","Verify adding products to cart updates badge","Regression Suite","Wed Apr 22 04:46:22 UTC 2026","passed","Wed Apr 22 04:46:22 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","addToCartShouldShowBatchCount"
