"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User should be able to login with valid credentials and product page should be displayed","429","Verify successful login","Regression Suite","Fri Apr 24 06:05:02 UTC 2026","passed","Fri Apr 24 06:05:02 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithValidCredentials"
"All 6 products should be displayed on Products page","62","Verify all 6 products are displayed","Regression Suite","Fri Apr 24 06:05:17 UTC 2026","passed","Fri Apr 24 06:05:17 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","allProductsShouldDisplay"
"User should not be able to login with invalid username or password, and error message should be displayed","661","Verify error message with invalid credentials (password)","Regression Suite","Fri Apr 24 06:04:59 UTC 2026","passed","Fri Apr 24 06:05:00 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithInvalidCredentials"
"Blocked user should not be able to login, and user is blocked message should be displayed","424","Verify locked out user cannot login","Regression Suite","Fri Apr 24 06:05:01 UTC 2026","passed","Fri Apr 24 06:05:01 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithLockedUser"
"After adding item to cart, cart icon should be updated with number of item added in cart","15673","Verify adding products to cart updates badge","Regression Suite","Fri Apr 24 06:05:00 UTC 2026","failed","Fri Apr 24 06:05:16 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","addToCartShouldShowBatchCount"
