"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Blocked user should not be able to login, and user is blocked message should be displayed","575","Verify locked out user cannot login","Regression Suite","Wed Apr 15 04:45:36 UTC 2026","passed","Wed Apr 15 04:45:37 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithLockedUser"
"User should not be able to login with invalid username or password, and error message should be displayed","587","Verify error message with invalid credentials (password)","Regression Suite","Wed Apr 15 04:45:34 UTC 2026","passed","Wed Apr 15 04:45:35 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithInvalidCredentials"
"User should be able to login with valid credentials and product page should be displayed","410","Verify successful login","Regression Suite","Wed Apr 15 04:45:37 UTC 2026","passed","Wed Apr 15 04:45:38 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithValidCredentials"
"All 6 products should be displayed on Products page","66","Verify all 6 products are displayed","Regression Suite","Wed Apr 15 04:45:37 UTC 2026","passed","Wed Apr 15 04:45:37 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","allProductsShouldDisplay"
"After adding item to cart, cart icon should be updated with number of item added in cart","195","Verify adding products to cart updates badge","Regression Suite","Wed Apr 15 04:45:35 UTC 2026","passed","Wed Apr 15 04:45:35 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","addToCartShouldShowBatchCount"
