"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Blocked user should not be able to login, and user is blocked message should be displayed","620","Verify locked out user cannot login","Regression Suite","Thu Apr 23 04:50:16 UTC 2026","passed","Thu Apr 23 04:50:17 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithLockedUser"
"User should not be able to login with invalid username or password, and error message should be displayed","584","Verify error message with invalid credentials (password)","Regression Suite","Thu Apr 23 04:50:15 UTC 2026","passed","Thu Apr 23 04:50:15 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithInvalidCredentials"
"All 6 products should be displayed on Products page","95","Verify all 6 products are displayed","Regression Suite","Thu Apr 23 04:50:17 UTC 2026","passed","Thu Apr 23 04:50:17 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","allProductsShouldDisplay"
"User should be able to login with valid credentials and product page should be displayed","449","Verify successful login","Regression Suite","Thu Apr 23 04:50:18 UTC 2026","passed","Thu Apr 23 04:50:18 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithValidCredentials"
"After adding item to cart, cart icon should be updated with number of item added in cart","235","Verify adding products to cart updates badge","Regression Suite","Thu Apr 23 04:50:15 UTC 2026","passed","Thu Apr 23 04:50:16 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","addToCartShouldShowBatchCount"
