"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User should not be able to login with invalid username or password, and error message should be displayed","601","Verify error message with invalid credentials (password)","Regression Suite","Mon Apr 20 04:57:35 UTC 2026","passed","Mon Apr 20 04:57:36 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithInvalidCredentials"
"Blocked user should not be able to login, and user is blocked message should be displayed","555","Verify locked out user cannot login","Regression Suite","Mon Apr 20 04:57:37 UTC 2026","passed","Mon Apr 20 04:57:37 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithLockedUser"
"User should be able to login with valid credentials and product page should be displayed","413","Verify successful login","Regression Suite","Mon Apr 20 04:57:38 UTC 2026","passed","Mon Apr 20 04:57:38 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithValidCredentials"
"After adding item to cart, cart icon should be updated with number of item added in cart","227","Verify adding products to cart updates badge","Regression Suite","Mon Apr 20 04:57:36 UTC 2026","passed","Mon Apr 20 04:57:36 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","addToCartShouldShowBatchCount"
"All 6 products should be displayed on Products page","79","Verify all 6 products are displayed","Regression Suite","Mon Apr 20 04:57:37 UTC 2026","passed","Mon Apr 20 04:57:38 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","allProductsShouldDisplay"
