"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Blocked user should not be able to login, and user is blocked message should be displayed","418","Verify locked out user cannot login","Regression Suite","Fri Apr 17 04:48:54 UTC 2026","passed","Fri Apr 17 04:48:55 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithLockedUser"
"After adding item to cart, cart icon should be updated with number of item added in cart","15688","Verify adding products to cart updates badge","Regression Suite","Fri Apr 17 04:48:54 UTC 2026","failed","Fri Apr 17 04:49:09 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","addToCartShouldShowBatchCount"
"All 6 products should be displayed on Products page","58","Verify all 6 products are displayed","Regression Suite","Fri Apr 17 04:49:10 UTC 2026","passed","Fri Apr 17 04:49:10 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","allProductsShouldDisplay"
"User should be able to login with valid credentials and product page should be displayed","449","Verify successful login","Regression Suite","Fri Apr 17 04:48:55 UTC 2026","passed","Fri Apr 17 04:48:56 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithValidCredentials"
"User should not be able to login with invalid username or password, and error message should be displayed","488","Verify error message with invalid credentials (password)","Regression Suite","Fri Apr 17 04:48:53 UTC 2026","passed","Fri Apr 17 04:48:54 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithInvalidCredentials"
