"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User should be able to login with valid credentials and product page should be displayed","463","Verify successful login","Regression Suite","Sun Apr 19 04:50:15 UTC 2026","passed","Sun Apr 19 04:50:16 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithValidCredentials"
"User should not be able to login with invalid username or password, and error message should be displayed","611","Verify error message with invalid credentials (password)","Regression Suite","Sun Apr 19 04:50:13 UTC 2026","passed","Sun Apr 19 04:50:14 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithInvalidCredentials"
"Blocked user should not be able to login, and user is blocked message should be displayed","437","Verify locked out user cannot login","Regression Suite","Sun Apr 19 04:50:14 UTC 2026","passed","Sun Apr 19 04:50:15 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithLockedUser"
"After adding item to cart, cart icon should be updated with number of item added in cart","15693","Verify adding products to cart updates badge","Regression Suite","Sun Apr 19 04:50:13 UTC 2026","failed","Sun Apr 19 04:50:29 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","addToCartShouldShowBatchCount"
"All 6 products should be displayed on Products page","67","Verify all 6 products are displayed","Regression Suite","Sun Apr 19 04:50:30 UTC 2026","passed","Sun Apr 19 04:50:30 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","allProductsShouldDisplay"
