"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"After adding item to cart, cart icon should be updated with number of item added in cart","15518","Verify adding products to cart updates badge","Regression Suite","Tue Apr 14 04:45:25 UTC 2026","failed","Tue Apr 14 04:45:40 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","addToCartShouldShowBatchCount"
"Blocked user should not be able to login, and user is blocked message should be displayed","310","Verify locked out user cannot login","Regression Suite","Tue Apr 14 04:45:28 UTC 2026","passed","Tue Apr 14 04:45:28 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithLockedUser"
"All 6 products should be displayed on Products page","49","Verify all 6 products are displayed","Regression Suite","Tue Apr 14 04:45:42 UTC 2026","passed","Tue Apr 14 04:45:42 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","allProductsShouldDisplay"
"User should be able to login with valid credentials and product page should be displayed","296","Verify successful login","Regression Suite","Tue Apr 14 04:45:29 UTC 2026","passed","Tue Apr 14 04:45:29 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithValidCredentials"
"User should not be able to login with invalid username or password, and error message should be displayed","569","Verify error message with invalid credentials (password)","Regression Suite","Tue Apr 14 04:45:24 UTC 2026","passed","Tue Apr 14 04:45:25 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithInvalidCredentials"
