"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User should be able to login with valid credentials and product page should be displayed","425","Verify successful login","Regression Suite","Sat Apr 18 04:32:14 UTC 2026","passed","Sat Apr 18 04:32:15 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithValidCredentials"
"User should not be able to login with invalid username or password, and error message should be displayed","669","Verify error message with invalid credentials (password)","Regression Suite","Sat Apr 18 04:32:11 UTC 2026","passed","Sat Apr 18 04:32:12 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithInvalidCredentials"
"After adding item to cart, cart icon should be updated with number of item added in cart","285","Verify adding products to cart updates badge","Regression Suite","Sat Apr 18 04:32:12 UTC 2026","passed","Sat Apr 18 04:32:12 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","addToCartShouldShowBatchCount"
"Blocked user should not be able to login, and user is blocked message should be displayed","610","Verify locked out user cannot login","Regression Suite","Sat Apr 18 04:32:13 UTC 2026","passed","Sat Apr 18 04:32:14 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithLockedUser"
"All 6 products should be displayed on Products page","100","Verify all 6 products are displayed","Regression Suite","Sat Apr 18 04:32:14 UTC 2026","passed","Sat Apr 18 04:32:14 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","allProductsShouldDisplay"
