"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"All 6 products should be displayed on Products page","81","Verify all 6 products are displayed","Regression Suite","Fri Apr 24 04:54:18 UTC 2026","passed","Fri Apr 24 04:54:18 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","allProductsShouldDisplay"
"After adding item to cart, cart icon should be updated with number of item added in cart","304","Verify adding products to cart updates badge","Regression Suite","Fri Apr 24 04:54:16 UTC 2026","passed","Fri Apr 24 04:54:17 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","addToCartShouldShowBatchCount"
"User should be able to login with valid credentials and product page should be displayed","453","Verify successful login","Regression Suite","Fri Apr 24 04:54:19 UTC 2026","passed","Fri Apr 24 04:54:19 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithValidCredentials"
"User should not be able to login with invalid username or password, and error message should be displayed","616","Verify error message with invalid credentials (password)","Regression Suite","Fri Apr 24 04:54:16 UTC 2026","passed","Fri Apr 24 04:54:17 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithInvalidCredentials"
"Blocked user should not be able to login, and user is blocked message should be displayed","640","Verify locked out user cannot login","Regression Suite","Fri Apr 24 04:54:17 UTC 2026","passed","Fri Apr 24 04:54:18 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithLockedUser"
